AU,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
JP,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
IL,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
HK,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
ID,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
MY,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
NZ,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
PH,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
SG,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
TW,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
TH,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
VN,https://open.spotify.com/track/50NsdT6u77MIFociYnvzsG
AT,https://open.spotify.com/track/4gALhhysObk59C3fxeTLwh
BE,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
CZ,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
DK,https://open.spotify.com/track/7j8K8PE1tO2TvhY15E8ZcD
EE,https://open.spotify.com/track/6FjMNJt8pTvzhGkdNskDrX
FI,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
FR,https://open.spotify.com/track/5N2IdMvsijo5D0Jl3iz6yu
DE,https://open.spotify.com/track/4gALhhysObk59C3fxeTLwh
GR,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
HU,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
IS,https://open.spotify.com/track/4wBY9TNUoxtKiRh4JjAS7x
IE,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
IT,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
LV,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
LT,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
NL,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
NO,https://open.spotify.com/track/6HqobDaKcIiv7iRierChsK
PL,https://open.spotify.com/track/3yI9jZu5AE7y7kUCqfBhCA
PT,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
RO,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
SK,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
ES,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
SE,https://open.spotify.com/track/5GC6b6Ukc7PfwG8VfYO3ar
CH,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9
TR,https://open.spotify.com/track/4CCYUYAzFBvD2omNu9EGPI
GB,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
AR,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
BO,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
BR,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
CL,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
CO,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
CR,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
DO,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
EC,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
SV,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
GT,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
HN,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
MX,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
NI,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
PA,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
PY,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
PE,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
UY,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
CA,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
US,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
